分类一	分类二	分类三	分类四	词类名	同义词	
针对性同义词*	重点词*	危机词			起烟	
针对性同义词*	重点词*	危机词			冒烟	
针对性同义词*	重点词*	危机词		滚烫		
针对性同义词*	重点词*	危机词			滚烫	
针对性同义词*	重点词*	危机词		炸裂		
针对性同义词*	重点词*	危机词			炸裂	
针对性同义词*	重点词*	危机词		烧焦		
针对性同义词*	重点词*	危机词			烫焦	
针对性同义词*	重点词*	危机词			焦了	
针对性同义词*	重点词*	危机词			烤焦	
针对性同义词*	重点词*	危机词			烧焦	
针对性同义词*	重点词*	危机词		焦味		
针对性同义词*	重点词*	危机词			焦味	
针对性同义词*	重点词*	危机词			糊味	
针对性同义词*	重点词*	危机词		焦黑		
针对性同义词*	重点词*	危机词			焦黑	
针对性同义词*	重点词*	危机词		熏黑		
针对性同义词*	重点词*	危机词			熏黑	
针对性同义词*	重点词*	危机词		烧坏		
针对性同义词*	重点词*	危机词			烧掉	
针对性同义词*	重点词*	危机词			烧了	
针对性同义词*	重点词*	危机词			烧坏	
针对性同义词*	重点词*	危机词			烧毁	
针对性同义词*	重点词*	危机词		白烟		
针对性同义词*	重点词*	危机词			白烟	
针对性同义词*	重点词*	危机词		融化		
针对性同义词*	重点词*	危机词			溶解	
针对性同义词*	重点词*	危机词			融解	
针对性同义词*	重点词*	危机词			溶化	
针对性同义词*	重点词*	危机词			消融	
针对性同义词*	重点词*	危机词			熔化	
针对性同义词*	重点词*	危机词			化入	
针对性同义词*	重点词*	危机词			融化	
针对性同义词*	重点词*	危机词		黑烟		
针对性同义词*	重点词*	危机词			黑烟	
针对性同义词*	重点词*	危机词		鼓包		
针对性同义词*	重点词*	危机词			发胀	
针对性同义词*	重点词*	危机词			膨胀	
针对性同义词*	重点词*	危机词			起包	
针对性同义词*	重点词*	危机词			鼓起	
针对性同义词*	重点词*	危机词			长包	
针对性同义词*	重点词*	危机词			鼓	
针对性同义词*	重点词*	危机词			鼓包	
针对性同义词*	重点词*	危机词			鼓胀	
针对性同义词*	重点词*	危机词			胀包	
针对性同义词*	重点词*	危机词			发涨	
针对性同义词*	重点词*	危机词			肿胀	
针对性同义词*	重点词*	危机词			鼓鼓	
针对性同义词*	重点词*	危机词		漏电		
针对性同义词*	重点词*	危机词			走电	
针对性同义词*	重点词*	危机词			跑电	
针对性同义词*	重点词*	危机词			漏电	
针对性同义词*	重点词*	危机词		燃烧		
针对性同义词*	重点词*	危机词			燃烧	
针对性同义词*	重点词*	危机词			起火	
针对性同义词*	重点词*	危机词			自燃	
针对性同义词*	重点词*	危机词			火灾	
针对性同义词*	重点词*	危机词		着火		
针对性同义词*	重点词*	危机词			烧起来	
针对性同义词*	重点词*	危机词			着火	
针对性同义词*	重点词*	危机词			失火	
针对性同义词*	重点词*	危机词		自燃		
针对性同义词*	重点词*	危机词		爆炸		
针对性同义词*	重点词*	危机词			爆破	
针对性同义词*	重点词*	危机词			炸了	
针对性同义词*	重点词*	危机词			爆裂	
针对性同义词*	重点词*	危机词			爆炸	
针对性同义词*	重点词*	危机词			爆	
针对性同义词*	重点词*	危机词			爆了	
针对性同义词*	重点词*	危机词			炸开	
针对性同义词*	重点词*	危机词			炸	
针对性同义词*	重点词*	危机词		炸伤		
针对性同义词*	重点词*	危机词			炸伤	
针对性同义词*	重点词*	危机词		烧伤		
针对性同义词*	重点词*	危机词			烧伤	
针对性同义词*	重点词*	危机词		作假		
针对性同义词*	重点词*	危机词			作假	
针对性同义词*	重点词*	重点词		重点词		
针对性同义词*	重点词*	重点词			平滑	
针对性同义词*	重点词*	重点词			不能使用	
针对性同义词*	重点词*	重点词			碎裂	
针对性同义词*	重点词*	重点词			自动重启	
针对性同义词*	重点词*	重点词			破损	
针对性同义词*	重点词*	重点词			内存不足	
针对性同义词*	重点词*	重点词			扭曲	
针对性同义词*	重点词*	重点词			升级失败	
针对性同义词*	重点词*	重点词			易误触	
针对性同义词*	重点词*	重点词			拖影	
针对性同义词*	重点词*	重点词			失败	
针对性同义词*	重点词*	重点词			进灰	
针对性同义词*	重点词*	重点词			不方便	
针对性同义词*	重点词*	重点词			翘起	
针对性同义词*	重点词*	重点词			不上电	
针对性同义词*	重点词*	重点词			缺陷	
针对性同义词*	重点词*	重点词			异响	
针对性同义词*	重点词*	重点词			手感好	
针对性同义词*	重点词*	重点词			不显示	
针对性同义词*	重点词*	重点词			材质好	
针对性同义词*	重点词*	重点词			中端	
针对性同义词*	重点词*	重点词			变色	
针对性同义词*	重点词*	重点词			发烫	
针对性同义词*	重点词*	重点词			不清晰	
针对性同义词*	重点词*	重点词			异常	
针对性同义词*	重点词*	重点词			速度慢	
针对性同义词*	重点词*	重点词			时间长	
针对性同义词*	重点词*	重点词			发热	
针对性同义词*	重点词*	重点词			失效	
针对性同义词*	重点词*	重点词			无法充电	
针对性同义词*	重点词*	重点词			无法连接	
针对性同义词*	重点词*	重点词			无法使用	
针对性同义词*	重点词*	重点词			温度过高	
针对性同义词*	重点词*	重点词			损坏	
针对性同义词*	重点词*	重点词			破音	
针对性同义词*	重点词*	重点词			稳定	
针对性同义词*	重点词*	重点词			白斑	
针对性同义词*	重点词*	重点词			黑点	
针对性同义词*	重点词*	重点词			不耐用	
针对性同义词*	重点词*	重点词			容量小	
针对性同义词*	重点词*	重点词			故障	
针对性同义词*	重点词*	重点词			缝隙	
针对性同义词*	重点词*	重点词			闪烁	
针对性同义词*	重点词*	重点词			兼容性不好	
针对性同义词*	重点词*	重点词			充电慢	
针对性同义词*	重点词*	重点词			黑屏	
针对性同义词*	重点词*	重点词			无法开机	
针对性同义词*	重点词*	重点词			松动	
针对性同义词*	重点词*	重点词			缺失	
针对性同义词*	重点词*	重点词			无法弹出	
针对性同义词*	重点词*	重点词			充电发热	
针对性同义词*	重点词*	重点词			死机	
针对性同义词*	重点词*	重点词			漏光	
针对性同义词*	重点词*	重点词			不发热	
针对性同义词*	重点词*	重点词			自动关机	
针对性同义词*	重点词*	重点词			乱跳	
针对性同义词*	重点词*	重点词			发黑	
针对性同义词*	重点词*	重点词			变形	
针对性同义词*	重点词*	重点词			破裂	
针对性同义词*	重点词*	重点词			脱胶	
针对性同义词*	重点词*	重点词			闪屏	
针对性同义词*	重点词*	重点词			漏液	
针对性同义词*	重点词*	重点词			偷跑流量	
针对性同义词*	重点词*	重点词			不亮	
针对性同义词*	重点词*	重点词			不支持	
针对性同义词*	重点词*	重点词			不准确	
针对性同义词*	重点词*	重点词			不灵敏	
针对性同义词*	重点词*	重点词			充不满	
针对性同义词*	重点词*	重点词			丢失	
针对性同义词*	重点词*	重点词			发黄	
针对性同义词*	重点词*	重点词			亮点	
针对性同义词*	重点词*	重点词			失灵	
针对性同义词*	重点词*	重点词			乱码	
针对性同义词*	重点词*	重点词			不刷新	
针对性同义词*	重点词*	重点词			无法正常上网	
针对性同义词*	重点词*	重点词			不可用	
针对性同义词*	重点词*	重点词			连接不上	
针对性同义词*	重点词*	重点词			信号差	
针对性同义词*	重点词*	重点词			泄密	
针对性同义词*	重点词*	重点词			无效	
针对性同义词*	重点词*	重点词			录入超时	
针对性同义词*	重点词*	重点词			已存在	
针对性同义词*	重点词*	重点词			不能够	
针对性同义词*	重点词*	重点词			无法打开	
针对性同义词*	重点词*	重点词			不成功	
针对性同义词*	重点词*	重点词			比较慢	
针对性同义词*	重点词*	重点词			不能用	
针对性同义词*	重点词*	重点词			不消不掉	
针对性同义词*	重点词*	重点词			不匹配	
针对性同义词*	重点词*	重点词			找不到	
针对性同义词*	重点词*	重点词			重启	
针对性同义词*	重点词*	重点词			听不清	
针对性同义词*	重点词*	重点词			闪退	
针对性同义词*	重点词*	重点词			不能消除	
针对性同义词*	重点词*	重点词			不亮屏	
针对性同义词*	重点词*	重点词			显示不对	
针对性同义词*	重点词*	重点词			很粗	
针对性同义词*	重点词*	重点词			高耗电	
针对性同义词*	重点词*	重点词			清晰	
针对性同义词*	重点词*	重点词			顿一下	
针对性同义词*	重点词*	重点词			灭屏	
针对性同义词*	重点词*	重点词			不能恢复	
针对性同义词*	重点词*	重点词			有回声	
针对性同义词*	重点词*	重点词			缓冲拖影	
针对性同义词*	重点词*	重点词			左右相反	
针对性同义词*	重点词*	重点词			意外删除	
针对性同义词*	重点词*	重点词			无信号	
针对性同义词*	重点词*	重点词			不重合	
针对性同义词*	重点词*	重点词			未完成	
针对性同义词*	重点词*	重点词			脏污	
针对性同义词*	重点词*	重点词			发送失败	
针对性同义词*	重点词*	重点词			搜索不到	
针对性同义词*	重点词*	重点词			没有变化	
针对性同义词*	重点词*	重点词			听不到	
针对性同义词*	重点词*	重点词			质量问题	
针对性同义词*	重点词*	重点词			很嘈杂	
针对性同义词*	重点词*	重点词			无输出	
针对性同义词*	重点词*	重点词			无法听见	
针对性同义词*	重点词*	重点词			不能升级	
针对性同义词*	重点词*	重点词			出现响声	
针对性同义词*	重点词*	重点词			正常充电	
针对性同义词*	重点词*	重点词			不够	
针对性同义词*	重点词*	重点词			连接失败	
针对性同义词*	重点词*	重点词			截屏轨迹	
针对性同义词*	重点词*	重点词			滋滋声	
针对性同义词*	重点词*	重点词			模糊	
针对性同义词*	重点词*	重点词			无法互联	
针对性同义词*	重点词*	重点词			水雾	
针对性同义词*	重点词*	重点词			晃动	
针对性同义词*	重点词*	重点词			不响铃	
针对性同义词*	重点词*	重点词			照片模糊	
针对性同义词*	重点词*	重点词			无法添加	
针对性同义词*	重点词*	重点词			不能发送视频	
针对性同义词*	重点词*	重点词			不准	
针对性同义词*	重点词*	重点词			很慢	
针对性同义词*	重点词*	重点词			无数据	
针对性同义词*	重点词*	重点词			红眼	
针对性同义词*	重点词*	重点词			数据丢失	
针对性同义词*	重点词*	重点词			接收失败	
针对性同义词*	重点词*	重点词			增强	
针对性同义词*	重点词*	重点词			无法定位	
针对性同义词*	重点词*	重点词			断连	
针对性同义词*	重点词*	重点词			连不上	
针对性同义词*	重点词*	重点词			嘟嘟声	
针对性同义词*	重点词*	重点词			慢	
针对性同义词*	重点词*	重点词			条纹闪烁	
针对性同义词*	重点词*	重点词			没有声音	
针对性同义词*	重点词*	重点词			出现错乱	
针对性同义词*	重点词*	重点词			无法正常搜索	
针对性同义词*	重点词*	重点词			空间不足	
针对性同义词*	重点词*	重点词			无画面	
针对性同义词*	重点词*	重点词			没反应	
针对性同义词*	重点词*	重点词			正常登录	
针对性同义词*	重点词*	重点词			不一致	
针对性同义词*	重点词*	重点词			无法下载	
针对性同义词*	重点词*	重点词			没有图像	
针对性同义词*	重点词*	重点词			不震动	
针对性同义词*	重点词*	重点词			杂音	
针对性同义词*	重点词*	重点词			常亮	
针对性同义词*	重点词*	重点词			声音很小	
针对性同义词*	重点词*	重点词			没有反应	
针对性同义词*	重点词*	重点词			显示错误	
针对性同义词*	重点词*	重点词			音量很小	
针对性同义词*	重点词*	重点词			发蒙	
针对性同义词*	重点词*	重点词			帐户异常	
针对性同义词*	重点词*	重点词			指纹重复	
针对性同义词*	重点词*	重点词			偏少	
针对性同义词*	重点词*	重点词			痕迹	
针对性同义词*	重点词*	重点词			无声音	
针对性同义词*	重点词*	重点词			耗流量	
针对性同义词*	重点词*	重点词			看不了	
针对性同义词*	重点词*	重点词			没画面	
针对性同义词*	重点词*	重点词			没有信号	
针对性同义词*	重点词*	重点词			声小	
针对性同义词*	重点词*	重点词			安装失败	
针对性同义词*	重点词*	重点词			收不到	
针对性同义词*	重点词*	重点词			打不开	
针对性同义词*	重点词*	重点词			无声	
针对性同义词*	重点词*	重点词			效果不好	
针对性同义词*	重点词*	重点词			无服务	
针对性同义词*	重点词*	重点词			效果差	
针对性同义词*	重点词*	重点词			开不了机	
针对性同义词*	重点词*	重点词			声音小
针对性同义词*	重点词*	重点词			无法正常播放
针对性同义词*	重点词*	重点词			开裂
针对性同义词*	重点词*	重点词			无法播放
针对性同义词*	重点词*	重点词			白点
针对性同义词*	重点词*	重点词			彩条
针对性同义词*	重点词*	重点词			跳变
针对性同义词*	重点词*	重点词			雪花
针对性同义词*	重点词*	重点词			暂停
针对性同义词*	重点词*	重点词			不牢固
针对性同义词*	重点词*	重点词			时间久
针对性同义词*	重点词*	重点词			正常播放
针对性同义词*	重点词*	重点词			被盗
针对性同义词*	重点词*	重点词			磕伤
针对性同义词*	重点词*	重点词			偏暗
针对性同义词*	重点词*	重点词			出现光晕
针对性同义词*	重点词*	重点词			错误
针对性同义词*	重点词*	重点词			蓝色轨迹
针对性同义词*	重点词*	重点词			花屏
针对性同义词*	重点词*	重点词			声音卡顿
针对性同义词*	重点词*	重点词			偏亮
针对性同义词*	重点词*	重点词			停留
针对性同义词*	重点词*	重点词			脱落
针对性同义词*	重点词*	重点词			漏接电话
针对性同义词*	重点词*	重点词			电线短路
针对性同义词*	重点词*	重点词			打乱
针对性同义词*	重点词*	重点词			成功
针对性同义词*	重点词*	重点词			有时高
针对性同义词*	重点词*	重点词			响一声
针对性同义词*	重点词*	重点词			过期
针对性同义词*	重点词*	重点词			丢了
针对性同义词*	重点词*	重点词			有时低
针对性同义词*	重点词*	重点词			无法正常开机
针对性同义词*	重点词*	重点词			自动还原
针对性同义词*	重点词*	重点词			看不到
针对性同义词*	重点词*	重点词			还原
针对性同义词*	重点词*	重点词			绿色机器人
针对性同义词*	重点词*	重点词			密码错误
针对性同义词*	重点词*	重点词			蓝屏
针对性同义词*	重点词*	重点词			电流音
针对性同义词*	重点词*	重点词			无法更新
针对性同义词*	重点词*	重点词			受理
针对性同义词*	重点词*	重点词			失真
针对性同义词*	重点词*	重点词			太短
针对性同义词*	重点词*	重点词			不佳
针对性同义词*	重点词*	重点词			无法直接
针对性同义词*	重点词*	重点词			黄框
针对性同义词*	重点词*	重点词			没有悬浮窗权限
针对性同义词*	重点词*	重点词			手感偏硬
针对性同义词*	重点词*	重点词			发不出去
针对性同义词*	重点词*	重点词			外放正常
针对性同义词*	重点词*	重点词			无法开启
针对性同义词*	重点词*	重点词			无法找回
针对性同义词*	重点词*	重点词			无法识别
针对性同义词*	重点词*	重点词			没有截屏成功
针对性同义词*	重点词*	重点词			用的更久
针对性同义词*	重点词*	重点词			拨出电话号码
针对性同义词*	重点词*	重点词			无法接听
针对性同义词*	重点词*	重点词			减少
针对性同义词*	重点词*	重点词			中断
针对性同义词*	重点词*	重点词			卡死
针对性同义词*	重点词*	重点词			不动
针对性同义词*	重点词*	重点词			不能移入
针对性同义词*	重点词*	重点词			变化
针对性同义词*	重点词*	重点词			没有更新
针对性同义词*	重点词*	重点词			不能和其中继或hilink组网
针对性同义词*	重点词*	重点词			免运费
针对性同义词*	重点词*	重点词			银行路由失败
针对性同义词*	重点词*	重点词			没变化
针对性同义词*	重点词*	重点词			型号不显示
针对性同义词*	重点词*	重点词			已送达
针对性同义词*	重点词*	重点词			图像放大
针对性同义词*	重点词*	重点词			部分功能不可用
针对性同义词*	重点词*	重点词			无弹框提示
针对性同义词*	重点词*	重点词			收到重复短信
针对性同义词*	重点词*	重点词			耗电快
针对性同义词*	重点词*	重点词			申请换货
针对性同义词*	重点词*	重点词			自动停止
针对性同义词*	重点词*	重点词			无法拦截
针对性同义词*	重点词*	重点词			过大
针对性同义词*	重点词*	重点词			告警
针对性同义词*	重点词*	重点词			关闭了页面
针对性同义词*	重点词*	重点词			无法加载
针对性同义词*	重点词*	重点词			进入其他应用程序
针对性同义词*	重点词*	重点词			无法在云端查看
针对性同义词*	重点词*	重点词			无法进入
针对性同义词*	重点词*	重点词			无法正常使用
针对性同义词*	重点词*	重点词			不响
针对性同义词*	重点词*	重点词			歪
针对性同义词*	重点词*	重点词			查询不到
针对性同义词*	重点词*	重点词			海外
针对性同义词*	重点词*	重点词			偏差
针对性同义词*	重点词*	重点词			沙沙声
针对性同义词*	重点词*	重点词			没有数据
针对性同义词*	重点词*	重点词			打不进
针对性同义词*	重点词*	重点词			存在差异
针对性同义词*	重点词*	重点词			分离
针对性同义词*	重点词*	重点词			分段显示
针对性同义词*	重点词*	重点词			不可删除
针对性同义词*	重点词*	重点词			不见了
针对性同义词*	重点词*	重点词			未知错误
针对性同义词*	重点词*	重点词			无法加载画面
针对性同义词*	重点词*	重点词			不明显
针对性同义词*	重点词*	重点词			自动删除
针对性同义词*	重点词*	重点词			搜不到星
针对性同义词*	重点词*	重点词			亮度突然变化
针对性同义词*	重点词*	重点词			检测失败
针对性同义词*	重点词*	重点词			发送成功
针对性同义词*	重点词*	重点词			错了
针对性同义词*	重点词*	重点词			无序
针对性同义词*	重点词*	重点词			消失
针对性同义词*	重点词*	重点词			放大
针对性同义词*	重点词*	重点词			上不了网
针对性同义词*	重点词*	重点词			取不出
针对性同义词*	重点词*	重点词			港澳台
针对性同义词*	重点词*	重点词			停止运行
针对性同义词*	重点词*	重点词			无法拔出
针对性同义词*	重点词*	重点词			突然变化
针对性同义词*	重点词*	重点词			无法插入卡槽
针对性同义词*	重点词*	重点词			音质差
针对性同义词*	重点词*	重点词			没有收到
针对性同义词*	重点词*	重点词			没有显示
针对性同义词*	重点词*	重点词			不能关联
针对性同义词*	重点词*	重点词			没显示
针对性同义词*	重点词*	重点词			搜星慢
针对性同义词*	重点词*	重点词			无法直接查看
针对性同义词*	重点词*	重点词			消耗流量
针对性同义词*	重点词*	重点词			无法解锁
针对性同义词*	重点词*	重点词			送达
针对性同义词*	重点词*	重点词			响
针对性同义词*	重点词*	重点词			置灰
针对性同义词*	重点词*	重点词			影响通话
针对性同义词*	重点词*	重点词			无响应
针对性同义词*	重点词*	重点词			款项少
针对性同义词*	重点词*	重点词			忘记
针对性同义词*	重点词*	重点词			时间太短
针对性同义词*	重点词*	重点词			对焦不清晰
针对性同义词*	重点词*	重点词			回音
针对性同义词*	重点词*	重点词			无法安装
针对性同义词*	重点词*	重点词			没有铃声
针对性同义词*	重点词*	重点词			无法使用数据业务
针对性同义词*	重点词*	重点词			未按时收到
针对性同义词*	重点词*	重点词			到期
针对性同义词*	重点词*	重点词			都没了
针对性同义词*	重点词*	重点词			清除
针对性同义词*	重点词*	重点词			没有声音提示
针对性同义词*	重点词*	重点词			不受理
针对性同义词*	重点词*	重点词			糊的
针对性同义词*	重点词*	重点词			无法配对
针对性同义词*	重点词*	重点词			轻微的响声
针对性同义词*	重点词*	重点词			无法
针对性同义词*	重点词*	重点词			部落冲突
针对性同义词*	重点词*	重点词			时间不准
针对性同义词*	重点词*	重点词			清理提示
针对性同义词*	重点词*	重点词			划痕
针对性同义词*	重点词*	重点词			自动更换壁纸
针对性同义词*	重点词*	重点词			不在订单里
针对性同义词*	重点词*	重点词			灰色
针对性同义词*	重点词*	重点词			闪断
针对性同义词*	重点词*	重点词			左右反了
针对性同义词*	重点词*	重点词			自动排列
针对性同义词*	重点词*	重点词			质量很差
针对性同义词*	重点词*	重点词			叠音
针对性同义词*	重点词*	重点词			无法连接服务器
针对性同义词*	重点词*	重点词			自动下载
针对性同义词*	重点词*	重点词			亮度增强
针对性同义词*	重点词*	重点词			错误码9/7/5/4
针对性同义词*	重点词*	重点词			低电量
针对性同义词*	重点词*	重点词			不开机
针对性同义词*	重点词*	重点词			无法访问
针对性同义词*	重点词*	重点词			不起作用
针对性同义词*	重点词*	重点词			自动拨打电话
针对性同义词*	重点词*	重点词			变焦
针对性同义词*	重点词*	重点词			空白
针对性同义词*	重点词*	重点词			回档
针对性同义词*	重点词*	重点词			自动连接
针对性同义词*	重点词*	重点词			小于
针对性同义词*	重点词*	重点词			自动下载软件
针对性同义词*	重点词*	重点词			混乱
针对性同义词*	重点词*	重点词			划伤
针对性同义词*	重点词*	重点词			显示混乱
针对性同义词*	重点词*	重点词			无法滑动
针对性同义词*	重点词*	重点词			大小限制
针对性同义词*	重点词*	重点词			转区
针对性同义词*	重点词*	重点词			数量不对
针对性同义词*	重点词*	重点词			亮屏
针对性同义词*	重点词*	重点词			自动显示
针对性同义词*	重点词*	重点词			主副卡切换
针对性同义词*	重点词*	重点词			很差
针对性同义词*	重点词*	重点词			无法调节
针对性同义词*	重点词*	重点词			黑色痕迹
针对性同义词*	重点词*	重点词			支付失败
针对性同义词*	重点词*	重点词			单通
针对性同义词*	重点词*	重点词			温度高
针对性同义词*	重点词*	重点词			不充电
针对性同义词*	重点词*	重点词			速度很慢
针对性同义词*	重点词*	重点词			连接不稳定
针对性同义词*	重点词*	重点词			外壳划伤
针对性同义词*	重点词*	重点词			服务器连接中
针对性同义词*	重点词*	重点词			重复的联系人
针对性同义词*	重点词*	重点词			无法正常运行
针对性同义词*	重点词*	重点词			频繁断开
针对性同义词*	重点词*	重点词			不是很稳定
针对性同义词*	重点词*	重点词			不对
针对性同义词*	重点词*	重点词			按键晃动
针对性同义词*	重点词*	重点词			歌声很小
针对性同义词*	重点词*	重点词			很小
针对性同义词*	重点词*	重点词			信号弱
针对性同义词*	重点词*	重点词			无法更改
针对性同义词*	重点词*	重点词			无法查看
针对性同义词*	重点词*	重点词			上网慢
针对性同义词*	重点词*	重点词			掉包
针对性同义词*	重点词*	重点词			无法识别的语音
针对性同义词*	重点词*	重点词			不能单独购买
针对性同义词*	重点词*	重点词			间隙较大
针对性同义词*	重点词*	重点词			不能
针对性同义词*	重点词*	重点词			反复重启
针对性同义词*	重点词*	重点词			不能直接点开
针对性同义词*	重点词*	重点词			音效差
针对性同义词*	重点词*	重点词			不能开机
针对性同义词*	重点词*	重点词			不兼容
针对性同义词*	重点词*	重点词			桌面重启
针对性同义词*	重点词*	重点词			不能输入文字
针对性同义词*	重点词*	重点词			不能连接蓝牙
针对性同义词*	重点词*	重点词			服务器忙
针对性同义词*	重点词*	重点词			使用状态
针对性同义词*	重点词*	重点词			-103 无签名文件
针对性同义词*	重点词*	重点词			无法默认登陆
针对性同义词*	重点词*	重点词			消耗数据流量
针对性同义词*	重点词*	重点词			无法上网
针对性同义词*	重点词*	重点词			提示失败
针对性同义词*	重点词*	重点词			刮手
针对性同义词*	重点词*	重点词			无角标
针对性同义词*	重点词*	重点词			无法访问服务器
针对性同义词*	重点词*	重点词			颤音
针对性同义词*	重点词*	重点词			手机丢失
针对性同义词*	重点词*	重点词			很硬
针对性同义词*	重点词*	重点词			没有刷脸登录方式
针对性同义词*	重点词*	重点词			退出
针对性同义词*	重点词*	重点词			速度更快
针对性同义词*	重点词*	重点词			呼叫失败
针对性同义词*	重点词*	重点词			发红
针对性同义词*	重点词*	重点词			无法浏览
针对性同义词*	重点词*	重点词			自动开启
针对性同义词*	重点词*	重点词			变量
针对性同义词*	重点词*	重点词			断开
针对性同义词*	重点词*	重点词			发麻
针对性同义词*	重点词*	重点词			注册不了
针对性同义词*	重点词*	重点词			断断续续
针对性同义词*	重点词*	重点词			没有任何反应
针对性同义词*	重点词*	重点词			不通过
针对性同义词*	重点词*	重点词			碎
针对性同义词*	重点词*	重点词			画面漂移
针对性同义词*	重点词*	重点词			显示一次
针对性同义词*	重点词*	重点词			不会记步
针对性同义词*	重点词*	重点词			报错
针对性同义词*	重点词*	重点词			不能同时使用
针对性同义词*	重点词*	重点词			进网试用
针对性同义词*	重点词*	重点词			不能电击
针对性同义词*	重点词*	重点词			自动断开
针对性同义词*	重点词*	重点词			刮手感
针对性同义词*	重点词*	重点词			无法查询
针对性同义词*	重点词*	重点词			反向充电
针对性同义词*	重点词*	重点词			显示黑色
针对性同义词*	重点词*	重点词			存在间隙
针对性同义词*	重点词*	重点词			看不清
针对性同义词*	重点词*	重点词			间断
针对性同义词*	重点词*	重点词			跳屏
针对性同义词*	重点词*	重点词			成功率低
针对性同义词*	重点词*	重点词			小一圈
针对性同义词*	重点词*	重点词			漂移
针对性同义词*	重点词*	重点词			碎了
针对性同义词*	重点词*	重点词			退回桌面
针对性同义词*	重点词*	重点词			获取不到数据
针对性同义词*	重点词*	重点词			泛黄
针对性同义词*	重点词*	重点词			无法激活
针对性同义词*	重点词*	重点词			停用
针对性同义词*	重点词*	重点词			蹭伤
针对性同义词*	重点词*	重点词			无法启动支付
