分类一	分类二	分类三	分类四	词类名	同义词	
针对性同义词*	重点词*	手机型号			MATE 8	
针对性同义词*	重点词*	手机型号		荣耀4A		
针对性同义词*	重点词*	手机型号			荣耀四A	
针对性同义词*	重点词*	手机型号			FOURA	
针对性同义词*	重点词*	手机型号			SCL CL00	
针对性同义词*	重点词*	手机型号			SCL AL00	
针对性同义词*	重点词*	手机型号			SCL TL00	
针对性同义词*	重点词*	手机型号			SCL-TL00	
针对性同义词*	重点词*	手机型号			畅玩4A	
针对性同义词*	重点词*	手机型号			荣耀FOURA	
针对性同义词*	重点词*	手机型号			荣耀4A	
针对性同义词*	重点词*	手机型号			SCL-AL00	
针对性同义词*	重点词*	手机型号			SCL-TLOOH	
针对性同义词*	重点词*	手机型号			SCL-CL00	
针对性同义词*	重点词*	手机型号			SCL-TL00H	
针对性同义词*	重点词*	手机型号			4A	
针对性同义词*	重点词*	手机型号			SCL TL00H	
针对性同义词*	重点词*	手机型号		荣耀4X		
针对性同义词*	重点词*	手机型号			CHE2-TL00M	
针对性同义词*	重点词*	手机型号			CHE1-CL20	
针对性同义词*	重点词*	手机型号			CHE2-TL00	
针对性同义词*	重点词*	手机型号			CHE1-CL10	
针对性同义词*	重点词*	手机型号			4X	
针对性同义词*	重点词*	手机型号			荣耀4X	
针对性同义词*	重点词*	手机型号			CHE2-UL00	
针对性同义词*	重点词*	手机型号			4X畅玩版	
针对性同义词*	重点词*	手机型号			CHE-TL00H	
针对性同义词*	重点词*	手机型号			CHE-TL00	
针对性同义词*	重点词*	手机型号			荣耀畅玩4X	
针对性同义词*	重点词*	手机型号			畅玩4X	
针对性同义词*	重点词*	手机型号			CHE2-TL00H	
针对性同义词*	重点词*	手机型号			荣耀4X畅玩版	
针对性同义词*	重点词*	手机型号		华为WS880		
针对性同义词*	重点词*	手机型号			华为WS880	
针对性同义词*	重点词*	手机型号			WS880	
针对性同义词*	重点词*	手机型号			WS880-10	
针对性同义词*	重点词*	手机型号		华为C8816		
针对性同义词*	重点词*	手机型号			C8816	
针对性同义词*	重点词*	手机型号			华为C8816	
针对性同义词*	重点词*	手机型号		华为TALKBAND		
针对性同义词*	重点词*	手机型号			TALKBANDB	
针对性同义词*	重点词*	手机型号			TALK BAND	
针对性同义词*	重点词*	手机型号			华为TALK BAND	
针对性同义词*	重点词*	手机型号			华为TALKBANDB	
针对性同义词*	重点词*	手机型号		畅玩版		
针对性同义词*	重点词*	手机型号			畅玩版真八核	
针对性同义词*	重点词*	手机型号			畅玩版真8核	
针对性同义词*	重点词*	手机型号			8核畅玩版	
针对性同义词*	重点词*	手机型号			畅游	
针对性同义词*	重点词*	手机型号			真八核畅玩版	
针对性同义词*	重点词*	手机型号			畅玩	
针对性同义词*	重点词*	手机型号			八核畅玩版	
针对性同义词*	重点词*	手机型号			荣耀畅玩版	
针对性同义词*	重点词*	手机型号			真8核畅玩版	
针对性同义词*	重点词*	手机型号			畅快	
针对性同义词*	重点词*	手机型号			荣耀	
针对性同义词*	重点词*	手机型号		荣耀2S		
针对性同义词*	重点词*	手机型号			荣耀 2S	
针对性同义词*	重点词*	手机型号			荣耀2S	
针对性同义词*	重点词*	手机型号		C8815		
针对性同义词*	重点词*	手机型号			C8815	
针对性同义词*	重点词*	手机型号			8815	
针对性同义词*	重点词*	手机型号		C8818		
针对性同义词*	重点词*	手机型号			8818	
针对性同义词*	重点词*	手机型号			HUAWEIC8818	
针对性同义词*	重点词*	手机型号			华为C8818	
针对性同义词*	重点词*	手机型号			C8818	
针对性同义词*	重点词*	手机型号		华为P7		
针对性同义词*	重点词*	手机型号			P7	
针对性同义词*	重点词*	手机型号			华为P7	
针对性同义词*	重点词*	手机型号		U9508		
针对性同义词*	重点词*	手机型号			U9508	
针对性同义词*	重点词*	手机型号		荣耀畅玩4		
针对性同义词*	重点词*	手机型号			G621-TL00M	
针对性同义词*	重点词*	手机型号			CHM-CL00	
针对性同义词*	重点词*	手机型号			G621-TL00	
针对性同义词*	重点词*	手机型号			荣耀4	
针对性同义词*	重点词*	手机型号			C8817D	
针对性同义词*	重点词*	手机型号			荣耀畅玩4	
针对性同义词*	重点词*	手机型号			荣耀四	
针对性同义词*	重点词*	手机型号			G620S-UL00	
针对性同义词*	重点词*	手机型号			畅玩4	
针对性同义词*	重点词*	手机型号		荣耀X1		
针对性同义词*	重点词*	手机型号			MEDIAPADX1	
针对性同义词*	重点词*	手机型号			7寸平板手机	
针对性同义词*	重点词*	手机型号			华为X1	
针对性同义词*	重点词*	手机型号			荣耀X17	
针对性同义词*	重点词*	手机型号			荣耀X1	
针对性同义词*	重点词*	手机型号			HUAWEIMEDIAPADX1	
针对性同义词*	重点词*	手机型号			叉1	
针对性同义词*	重点词*	手机型号			X1	
针对性同义词*	重点词*	手机型号		D2		
针对性同义词*	重点词*	手机型号			D2	
针对性同义词*	重点词*	手机型号			ASCENDD2	
针对性同义词*	重点词*	手机型号		荣耀7I		
针对性同义词*	重点词*	手机型号			荣耀7I	
针对性同义词*	重点词*	手机型号			ATH-UL00	
针对性同义词*	重点词*	手机型号			ATH-AL00	
针对性同义词*	重点词*	手机型号			华为7I	
针对性同义词*	重点词*	手机型号			ATH-TL00	
针对性同义词*	重点词*	手机型号			ATH-TL00H	
针对性同义词*	重点词*	手机型号			7I	
针对性同义词*	重点词*	手机型号			HUAWEI华为荣耀7I	
针对性同义词*	重点词*	手机型号			ATH-CL00	
针对性同义词*	重点词*	手机型号			雅典娜	
针对性同义词*	重点词*	手机型号			华为荣耀7I	
针对性同义词*	重点词*	手机型号		华为P6		
针对性同义词*	重点词*	手机型号			P6	
针对性同义词*	重点词*	手机型号			ASCENDP6	
针对性同义词*	重点词*	手机型号			华为P6	
针对性同义词*	重点词*	手机型号		畅享5S		
针对性同义词*	重点词*	手机型号			5S畅享手机	
针对性同义词*	重点词*	手机型号			畅玩5S	
针对性同义词*	重点词*	手机型号			畅享五S	
针对性同义词*	重点词*	手机型号			畅享5S版手机	
针对性同义词*	重点词*	手机型号			5S	
针对性同义词*	重点词*	手机型号			畅享5S手机	
针对性同义词*	重点词*	手机型号			畅想5S	
针对性同义词*	重点词*	手机型号			畅想享受5S	
针对性同义词*	重点词*	手机型号			5S畅享版	
针对性同义词*	重点词*	手机型号			5S畅享	
针对性同义词*	重点词*	手机型号			5S畅享版手机	
针对性同义词*	重点词*	手机型号			TAG-AL00	
针对性同义词*	重点词*	手机型号			畅享5S	
针对性同义词*	重点词*	手机型号			畅享5S版	
针对性同义词*	重点词*	手机型号		麦芒4		
针对性同义词*	重点词*	手机型号			RIO-AL00	
针对性同义词*	重点词*	手机型号			HUAWEI RIO-CL00	
针对性同义词*	重点词*	手机型号			RIO	
针对性同义词*	重点词*	手机型号			HUAWEI RIO-AL00	
针对性同义词*	重点词*	手机型号			麦芒	
针对性同义词*	重点词*	手机型号			麦芒四	
针对性同义词*	重点词*	手机型号			RIO-CL00	
针对性同义词*	重点词*	手机型号			麦芒4	
针对性同义词*	重点词*	手机型号		麦芒3S		
针对性同义词*	重点词*	手机型号			C199S	
针对性同义词*	重点词*	手机型号			麦芒三	
针对性同义词*	重点词*	手机型号			麦芒3	
针对性同义词*	重点词*	手机型号			华为C199S	
针对性同义词*	重点词*	手机型号			麦芒三S	
针对性同义词*	重点词*	手机型号			麦芒C199S	
针对性同义词*	重点词*	手机型号			华为麦芒3S	
针对性同义词*	重点词*	手机型号			麦芒3S	
针对性同义词*	重点词*	手机型号			华为HUAWEIC199S麦芒3S电信4G智能手机	
针对性同义词*	重点词*	手机型号		P8MAX		
针对性同义词*	重点词*	手机型号			P8 MAX	
针对性同义词*	重点词*	手机型号			ASCENDP8  MAX	
针对性同义词*	重点词*	手机型号			ASCENDP8 MAX	
针对性同义词*	重点词*	手机型号			P8MAX	
针对性同义词*	重点词*	手机型号			华为P8MAX	
针对性同义词*	重点词*	手机型号			华为P8  MAX	
针对性同义词*	重点词*	手机型号			ASCENDP8MAX	
针对性同义词*	重点词*	手机型号			P8  MAX	
针对性同义词*	重点词*	手机型号			华为P8 MAX	
针对性同义词*	重点词*	手机型号		荣耀3X		
针对性同义词*	重点词*	手机型号			荣耀3X	
针对性同义词*	重点词*	手机型号			荣耀3X畅玩版	
针对性同义词*	重点词*	手机型号			3X畅玩版	
针对性同义词*	重点词*	手机型号			畅玩3X	
针对性同义词*	重点词*	手机型号			3X	
针对性同义词*	重点词*	手机型号		荣耀畅玩6X		
针对性同义词*	重点词*	手机型号			荣耀畅玩6X	
针对性同义词*	重点词*	手机型号			荣耀6X畅玩版	
针对性同义词*	重点词*	手机型号			HUAWEI 畅玩6X	
针对性同义词*	重点词*	手机型号			荣耀6X	
针对性同义词*	重点词*	手机型号			华为6X	
针对性同义词*	重点词*	手机型号			6×	
针对性同义词*	重点词*	手机型号			畅玩6X	
针对性同义词*	重点词*	手机型号			荣耀六X	
针对性同义词*	重点词*	手机型号			X6	
针对性同义词*	重点词*	手机型号			6X	
针对性同义词*	重点词*	手机型号			华为荣耀6X	
针对性同义词*	重点词*	手机型号			荣耀畅玩X6	
针对性同义词*	重点词*	手机型号		畅享5		
针对性同义词*	重点词*	手机型号			畅享5	
针对性同义词*	重点词*	手机型号			畅享五	
针对性同义词*	重点词*	手机型号			畅想5	
针对性同义词*	重点词*	手机型号			TIT	
针对性同义词*	重点词*	手机型号			TIT-AL00	
针对性同义词*	重点词*	手机型号			华为畅享5	
针对性同义词*	重点词*	手机型号			畅想五	
针对性同义词*	重点词*	手机型号			HUAWEI畅享5	
针对性同义词*	重点词*	手机型号		MATE2		
针对性同义词*	重点词*	手机型号			MATE2	
针对性同义词*	重点词*	手机型号			M2	
针对性同义词*	重点词*	手机型号			M 2	
针对性同义词*	重点词*	手机型号			MATE 2	
针对性同义词*	重点词*	手机型号			MT 2	
针对性同义词*	重点词*	手机型号			MT2	
针对性同义词*	重点词*	手机型号		荣耀3		
针对性同义词*	重点词*	手机型号			耀3	
针对性同义词*	重点词*	手机型号			荣3	
针对性同义词*	重点词*	手机型号			荣耀三	
针对性同义词*	重点词*	手机型号			荣耀3	
针对性同义词*	重点词*	手机型号			RONGYAO3	
针对性同义词*	重点词*	手机型号			HONOR3	
针对性同义词*	重点词*	手机型号			华为荣耀3	
针对性同义词*	重点词*	手机型号			HN3U01	
针对性同义词*	重点词*	手机型号			荣耀3OUTDOOR	
针对性同义词*	重点词*	手机型号			荣誉3	
针对性同义词*	重点词*	手机型号			HONOROUTDOOR	
针对性同义词*	重点词*	手机型号			HN3	
针对性同义词*	重点词*	手机型号			HN3U00	
针对性同义词*	重点词*	手机型号		MATES		
针对性同义词*	重点词*	手机型号			HUAWEI CRR-UL20	
针对性同义词*	重点词*	手机型号			MATE,S	
针对性同义词*	重点词*	手机型号			MATE  S	
针对性同义词*	重点词*	手机型号			MATSS	
针对性同义词*	重点词*	手机型号			华为MATES	
针对性同义词*	重点词*	手机型号			MATE S	
针对性同义词*	重点词*	手机型号			HUAWEI CRR-TL00	
针对性同义词*	重点词*	手机型号			MATE    S	
针对性同义词*	重点词*	手机型号			MATS	
针对性同义词*	重点词*	手机型号			HUAWEI CRR-CL20	
针对性同义词*	重点词*	手机型号			MATES	
针对性同义词*	重点词*	手机型号			HUAWEI CRR-CL00	
针对性同义词*	重点词*	手机型号			HUAWEI CRR-UL00	
针对性同义词*	重点词*	手机型号			MS	
针对性同义词*	重点词*	手机型号		荣耀3XPRO		
针对性同义词*	重点词*	手机型号			荣耀3XPRO	
针对性同义词*	重点词*	手机型号			荣耀3X PRO	
针对性同义词*	重点词*	手机型号			3X PRO	
针对性同义词*	重点词*	手机型号			3XPRO	
针对性同义词*	重点词*	手机型号		华为NOTES		
针对性同义词*	重点词*	手机型号			NOTES	
针对性同义词*	重点词*	手机型号			华为NOTES	
针对性同义词*	重点词*	手机型号		华为D2		
针对性同义词*	重点词*	手机型号			华为ASCEND D2	
针对性同义词*	重点词*	手机型号			华为D2	
针对性同义词*	重点词*	手机型号		D2电信版		
针对性同义词*	重点词*	手机型号			D2电信定制版	
针对性同义词*	重点词*	手机型号			D2电信定制	
针对性同义词*	重点词*	手机型号			D2电信版	
针对性同义词*	重点词*	手机型号			ASCENDD2电信版	
针对性同义词*	重点词*	手机型号		D2联通版		
针对性同义词*	重点词*	手机型号			ASCENDD2联通版	
针对性同义词*	重点词*	手机型号			D2联通版	
针对性同义词*	重点词*	手机型号			D2非定制	
针对性同义词*	重点词*	手机型号			D2联通非定制版	
针对性同义词*	重点词*	手机型号		荣耀6PLUS		
针对性同义词*	重点词*	手机型号			荣耀6P	
针对性同义词*	重点词*	手机型号			6 PLUS	
针对性同义词*	重点词*	手机型号			荣耀6升级版	
针对性同义词*	重点词*	手机型号			6PULS	
针对性同义词*	重点词*	手机型号			6+	
针对性同义词*	重点词*	手机型号			荣耀6 +	
针对性同义词*	重点词*	手机型号			荣耀6PLUS	
针对性同义词*	重点词*	手机型号			6加	
针对性同义词*	重点词*	手机型号			荣耀6 PIUS	
针对性同义词*	重点词*	手机型号			华为荣耀6PLUS	
针对性同义词*	重点词*	手机型号			荣耀PIUS	
针对性同义词*	重点词*	手机型号			荣耀六PLUS	
针对性同义词*	重点词*	手机型号			青松	
针对性同义词*	重点词*	手机型号			荣耀6 PLUS	
针对性同义词*	重点词*	手机型号			六加	
针对性同义词*	重点词*	手机型号			荣耀6 升级版	
针对性同义词*	重点词*	手机型号			6P	
针对性同义词*	重点词*	手机型号			荣耀6 PULS	
针对性同义词*	重点词*	手机型号			6:00 PM	p-
针对性同义词*	重点词*	手机型号			荣耀六 PLUS	
针对性同义词*	重点词*	手机型号			荣耀6加	
针对性同义词*	重点词*	手机型号			荣耀6PIUS	
针对性同义词*	重点词*	手机型号			荣耀6 P	
针对性同义词*	重点词*	手机型号			HONOR6PLUS	
针对性同义词*	重点词*	手机型号			6PLUS	
针对性同义词*	重点词*	手机型号			6PIUS	
针对性同义词*	重点词*	手机型号			荣耀6+	
针对性同义词*	重点词*	手机型号			荣耀6PULS	
针对性同义词*	重点词*	手机型号			荣耀6PLU	
针对性同义词*	重点词*	手机型号			6PLS	
针对性同义词*	重点词*	手机型号			华为,荣耀,6,PLUS	p-
针对性同义词*	重点词*	手机型号		荣耀6		
针对性同义词*	重点词*	手机型号			荣耀6	
针对性同义词*	重点词*	手机型号			HONOR6	
针对性同义词*	重点词*	手机型号			荣耀六	
针对性同义词*	重点词*	手机型号			华为荣耀六	
针对性同义词*	重点词*	手机型号			RONGYAO6	
针对性同义词*	重点词*	手机型号		荣耀3C		
针对性同义词*	重点词*	手机型号			华为荣耀3C	
针对性同义词*	重点词*	手机型号			畅玩3C	
针对性同义词*	重点词*	手机型号			H30-L01	
针对性同义词*	重点词*	手机型号			H30-L11M	
针对性同义词*	重点词*	手机型号			H30-L01M	
针对性同义词*	重点词*	手机型号			3C畅玩版	
针对性同义词*	重点词*	手机型号			H30-L11	
针对性同义词*	重点词*	手机型号			荣3C	
针对性同义词*	重点词*	手机型号			H30-TL10	
针对性同义词*	重点词*	手机型号			荣耀3C	
针对性同义词*	重点词*	手机型号			H30-TL00	
针对性同义词*	重点词*	手机型号			3C	
针对性同义词*	重点词*	手机型号			荣耀3C畅玩版	
针对性同义词*	重点词*	手机型号		MATE7		
针对性同义词*	重点词*	手机型号			M 7	
针对性同义词*	重点词*	手机型号			MATESEVEN	
针对性同义词*	重点词*	手机型号			华为MT7	
针对性同义词*	重点词*	手机型号			MAET7	
针对性同义词*	重点词*	手机型号			ASCENDMATE7	
针对性同义词*	重点词*	手机型号			妹7	
针对性同义词*	重点词*	手机型号			HUAWEI MT7-TL00	
针对性同义词*	重点词*	手机型号			HUAWEI MT7-TL10	
针对性同义词*	重点词*	手机型号			美腿妻	
针对性同义词*	重点词*	手机型号			MT7	
针对性同义词*	重点词*	手机型号			MATE7	
针对性同义词*	重点词*	手机型号			METE7	
针对性同义词*	重点词*	手机型号			METE 7	
针对性同义词*	重点词*	手机型号			MATES EVEN	
针对性同义词*	重点词*	手机型号			MT7-CL00	
针对性同义词*	重点词*	手机型号			HUAWEI MT7-UL00	
针对性同义词*	重点词*	手机型号			华为ASCENDMATE7	
针对性同义词*	重点词*	手机型号			M7	
针对性同义词*	重点词*	手机型号			MATE七	
针对性同义词*	重点词*	手机型号			MT7-TL00	
针对性同义词*	重点词*	手机型号			美腿7	
针对性同义词*	重点词*	手机型号			马特7	
针对性同义词*	重点词*	手机型号			华为7	
针对性同义词*	重点词*	手机型号			华为7（PLK-ALI0）	
针对性同义词*	重点词*	手机型号			HUAWEI MT7-CL00	
针对性同义词*	重点词*	手机型号			JAZZ	
针对性同义词*	重点词*	手机型号			MT7-UL00	
